City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,76.73,few clouds,-23.1203,-134.9692,People ThankYou
2,Castro,BR,75.43,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
4,Hermanus,ZA,63.55,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
7,Sao Filipe,CV,76.8,overcast clouds,14.8961,-24.4956,Hotel Xaguate
9,Meulaboh,ID,74.34,moderate rain,4.1363,96.1285,Kost Pria
10,Goianira,BR,80.42,broken clouds,-16.4961,-49.4264,Estância Palmeiras
11,Lages,BR,71.51,overcast clouds,-27.8161,-50.3261,"Le CanarD Lages - Hotel em Lages, Excelente Localização, Lazer ou Trabalho"
12,Busselton,AU,61.63,scattered clouds,-33.65,115.3333,Observatory Guest House
14,Saint George,US,77.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
15,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
17,Lompoc,US,82.71,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
21,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
23,Hilo,US,77.47,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
24,Noumea,NC,82.38,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
26,Sao Lourenco Do Oeste,BR,67.6,light rain,-26.3592,-52.8511,Poente Hotel
30,Gariadhar,IN,73.81,broken clouds,21.5333,71.5833,Circuit House
32,Tantoyuca,MX,70.41,overcast clouds,21.35,-98.2333,HOTEL VICTORIA
33,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
35,Bengkulu,ID,75.85,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
38,Riyadh,SA,63.43,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
39,Bredasdorp,ZA,62.89,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
40,Itacare,BR,76.21,overcast clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
42,Sur,OM,73.51,clear sky,22.5667,59.5289,Sur Plaza Hotel
43,Hithadhoo,MV,81.37,broken clouds,-0.6,73.0833,Scoop Guest House
44,Gualaquiza,EC,78.19,broken clouds,-3.4,-78.55,Hotel Merceditas
47,Phirangipuram,IN,70.54,overcast clouds,16.3,80.2667,Carmel Girls Hostel(Universal College Of Engineering And Technology Hostel)
49,Pangkalanbuun,ID,70.61,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
52,Mar Del Plata,AR,63.27,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
53,Port Victoria,KE,71.38,moderate rain,0.0939,33.9756,Homepark motel
57,Cabo San Lucas,MX,74.5,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
59,Namatanai,PG,81.16,light rain,-3.6667,152.4333,Seagulls Inn Namatani
62,Buraydah,SA,60.93,clear sky,26.326,43.975,فندق راحة السلام
63,Atar,MR,65.23,clear sky,20.5169,-13.0499,Oumou Elghoura
64,Portobelo,PA,82.81,overcast clouds,9.55,-79.65,Scuba Portobelo
67,Baiao,BR,82.31,overcast clouds,-2.7906,-49.6717,Hotel Eurosono
71,East London,ZA,69.12,scattered clouds,-33.0153,27.9116,Tu Casa
74,Kavieng,PG,81.84,moderate rain,-2.5744,150.7967,Nusa Island Retreat
76,Mahebourg,MU,76.23,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
77,Iranshahr,IR,66.87,clear sky,27.2025,60.6848,نیک سرشت
